source_excel_row,survey_date_parsed,intersection_key,road_key,time_key,Lockdown,vph
7584,2021-08-23,เดโช,เดโช,09:00-16:00,1,231.14285714285714
7585,2021-08-23,เดโช,สีลม,09:00-16:00,1,1719.7142857142858
7596,2021-08-25,วิสุทธิกษัตริย์,ประชาธิปไตย,07:00-09:00,1,905.5
7597,2021-08-25,วิสุทธิกษัตริย์,วิสุทธิกษัตริย์,07:00-09:00,1,1704.5
7599,2021-08-25,บางยี่เรือ,เทอดไท,07:00-09:00,1,1208.5
7600,2021-08-25,วิสุทธิกษัตริย์,ประชาธิปไตย,16:00-19:00,1,475.3333333333333
7601,2021-08-25,วิสุทธิกษัตริย์,วิสุทธิกษัตริย์,16:00-19:00,1,1022.0
7603,2021-08-25,บางยี่เรือ,เทอดไท,16:00-19:00,1,1366.0
7604,2021-08-25,วิสุทธิกษัตริย์,ประชาธิปไตย,09:00-16:00,1,743.0
7605,2021-08-25,วิสุทธิกษัตริย์,วิสุทธิกษัตริย์,09:00-16:00,1,1143.0
7607,2021-08-25,บางยี่เรือ,เทอดไท,09:00-16:00,1,1397.2857142857142
7622,2021-08-27,หน้าธนาคารแห่งประเทศไทย,สามเสน,07:00-09:00,1,701.0
7626,2021-08-27,หน้าธนาคารแห่งประเทศไทย,สามเสน,16:00-19:00,1,379.3333333333333
7630,2021-08-27,หน้าธนาคารแห่งประเทศไทย,สามเสน,09:00-16:00,1,471.42857142857144
7632,2021-08-30,สุรศักดิ์,มเหสักข์,07:00-09:00,1,958.0
7633,2021-08-30,สุรศักดิ์,สีลม,07:00-09:00,1,2096.0
7634,2021-08-30,สุรศักดิ์,มเหสักข์,16:00-19:00,1,628.3333333333334
7635,2021-08-30,สุรศักดิ์,สีลม,16:00-19:00,1,1977.6666666666667
7636,2021-08-30,สุรศักดิ์,มเหสักข์,09:00-16:00,1,766.4285714285714
7637,2021-08-30,สุรศักดิ์,สีลม,09:00-16:00,1,2191.8571428571427
7639,2021-08-31,หมอเหล็ง,ศรีอยุธยา,07:00-09:00,1,740.0
7642,2021-08-31,หมอเหล็ง,ศรีอยุธยา,16:00-19:00,1,798.6666666666666
7644,2021-08-31,หมอเหล็ง,ราชปรารภ,09:00-16:00,1,2020.2857142857142
7645,2021-08-31,หมอเหล็ง,ศรีอยุธยา,09:00-16:00,1,781.1428571428571
7646,2021-08-31,หมอเหล็ง,จตุรทิศ,09:00-16:00,1,59.42857142857143
7647,2021-09-01,ประชานุกูล,ประชาชื่น,07:00-09:00,1,2870.0
7649,2021-09-01,ประชานุกูล,ประชาชื่น,16:00-19:00,1,2055.3333333333335
7651,2021-09-01,ประชานุกูล,ประชาชื่น,09:00-16:00,1,2589.0
7659,2021-09-02,โพธิ์สามต้น,อิสรภาพ,07:00-09:00,1,1321.5
7660,2021-09-02,โพธิ์สามต้น,วังเดิม,07:00-09:00,1,377.0
7661,2021-09-02,โพธิ์สามต้น,อิสรภาพ,16:00-19:00,1,1312.0
7662,2021-09-02,โพธิ์สามต้น,วังเดิม,16:00-19:00,1,294.6666666666667
7663,2021-09-02,โพธิ์สามต้น,อิสรภาพ,09:00-16:00,1,1236.857142857143
7664,2021-09-02,โพธิ์สามต้น,วังเดิม,09:00-16:00,1,336.0
7677,2021-09-06,เตาปูน,ซอยน้ำชัย,07:00-09:00,1,4.0
7679,2021-09-06,เตาปูน,ประชาราษฎร์สาย2,07:00-09:00,1,1041.0
7682,2021-09-06,เตาปูน,ซอยน้ำชัย,16:00-19:00,1,2.6666666666666665
7684,2021-09-06,เตาปูน,ประชาราษฎร์สาย2,16:00-19:00,1,1521.6666666666667
7687,2021-09-06,เตาปูน,ซอยน้ำชัย,09:00-16:00,1,3.2857142857142856
7689,2021-09-06,เตาปูน,ประชาราษฎร์สาย2,09:00-16:00,1,1329.2857142857142
7692,2021-09-07,บางโพ,ประชาราษฎร์สาย1,07:00-09:00,1,1877.5
7693,2021-09-07,บางโพ,ประชาราษฎร์สาย2,07:00-09:00,1,601.0
7696,2021-09-07,บางโพ,ประชาราษฎร์สาย1,16:00-19:00,1,2028.3333333333333
7697,2021-09-07,บางโพ,ประชาราษฎร์สาย2,16:00-19:00,1,728.6666666666666
7700,2021-09-07,บางโพ,ประชาราษฎร์สาย1,09:00-16:00,1,1850.2857142857142
7701,2021-09-07,บางโพ,ประชาราษฎร์สาย2,09:00-16:00,1,752.2857142857143
7708,2021-09-08,โรงกรองน้ำ,พระรามที่6,09:00-16:00,1,2266.4285714285716
7709,2021-09-08,โรงกรองน้ำ,นครไชยศรี,09:00-16:00,1,680.8571428571429
7710,2021-09-10,สามเสน,สวรรคโลก,07:00-09:00,1,1097.0
7711,2021-09-10,สามเสน,เทอดดำริ,07:00-09:00,1,638.5
7712,2021-09-10,สามเสน,นครไชยศรี,07:00-09:00,1,1107.0
7713,2021-09-10,สามเสน,สวรรคโลก,16:00-19:00,1,1095.0
7714,2021-09-10,สามเสน,เทอดดำริ,16:00-19:00,1,478.3333333333333
7715,2021-09-10,สามเสน,นครไชยศรี,16:00-19:00,1,1098.3333333333333
7716,2021-09-10,สามเสน,สวรรคโลก,09:00-16:00,1,1140.0
7717,2021-09-10,สามเสน,เทอดดำริ,09:00-16:00,1,555.1428571428571
7718,2021-09-10,สามเสน,นครไชยศรี,09:00-16:00,1,1145.7142857142858
7720,2021-09-13,ท่าพระ,จรัญสนิทวงศ์,07:00-09:00,1,1141.0
7722,2021-09-13,สรงประภา-นาวงศ์ประชาพัฒนา,นาวงศ์ประชาพัฒนา,07:00-09:00,1,620.5
7723,2021-09-13,สรงประภา-นาวงศ์ประชาพัฒนา,สรงประภา,07:00-09:00,1,1857.0
7724,2021-09-13,บางขุนนนท์,จรัญสนิทวงศ์,07:00-09:00,1,2338.0
7727,2021-09-13,ประชาชื่น,ประชาชื่น,07:00-09:00,1,1377.0
7730,2021-09-13,ท่าพระ,จรัญสนิทวงศ์,16:00-19:00,1,1326.0
7732,2021-09-13,สรงประภา-นาวงศ์ประชาพัฒนา,นาวงศ์ประชาพัฒนา,16:00-19:00,1,861.6666666666666
7733,2021-09-13,สรงประภา-นาวงศ์ประชาพัฒนา,สรงประภา,16:00-19:00,1,2596.0
7734,2021-09-13,บางขุนนนท์,จรัญสนิทวงศ์,16:00-19:00,1,2170.0
7737,2021-09-13,ประชาชื่น,ประชาชื่น,16:00-19:00,1,542.3333333333334
7739,2021-09-13,ท่าพระ,รัชดาภิเษก,09:00-16:00,1,1003.7142857142857
7740,2021-09-13,ท่าพระ,จรัญสนิทวงศ์,09:00-16:00,1,1402.5714285714287
7741,2021-09-13,ท่าพระ,เพชรเกษม,09:00-16:00,1,2872.4285714285716
7742,2021-09-13,สรงประภา-นาวงศ์ประชาพัฒนา,นาวงศ์ประชาพัฒนา,09:00-16:00,1,727.2857142857143
7743,2021-09-13,สรงประภา-นาวงศ์ประชาพัฒนา,สรงประภา,09:00-16:00,1,2055.285714285714
7744,2021-09-13,บางขุนนนท์,จรัญสนิทวงศ์,09:00-16:00,1,2115.5714285714284
7745,2021-09-13,บางขุนนนท์,บางกอกน้อยตลิ่งชัน,09:00-16:00,1,533.1428571428571
7746,2021-09-13,บางขุนนนท์,ซอยจรัญสนิทวงศ์32,09:00-16:00,1,19.142857142857142
7747,2021-09-13,ประชาชื่น,ประชาชื่น,09:00-16:00,1,795.1428571428571
7778,2021-09-20,จันทน์-นราธิวาส,นราธิวาสราชนครินทร์,16:00-19:00,1,2047.3333333333333
