source_excel_row,survey_date_parsed,covid_period,intersection_key,road_key,time_key,period_hours,total,vph
668,2017-07-18,ก่อนโควิด,ประตูน้ำ,เพชรบุรี,07:00-09:00,2.0,6494.0,3247.0
669,2017-07-18,ก่อนโควิด,ประตูน้ำ,เพชรบุรี,09:00-16:00,7.0,20501.0,2928.714285714286
670,2017-07-18,ก่อนโควิด,ประตูน้ำ,เพชรบุรี,16:00-19:00,3.0,8131.0,2710.3333333333335
677,2017-07-20,ก่อนโควิด,ตากสิน,สมเด็จพระเจ้าตากสิน,07:00-09:00,2.0,8736.0,4368.0
680,2017-07-20,ก่อนโควิด,ตากสิน,ราชพฤกษ์,07:00-09:00,2.0,6303.0,3151.5
683,2017-07-20,ก่อนโควิด,ตากสิน,กรุงธนบุรี,07:00-09:00,2.0,5439.0,2719.5
686,2017-07-21,ก่อนโควิด,โพธิ์แก้ว,นวมินทร์,07:00-09:00,2.0,12370.0,6185.0
687,2017-07-21,ก่อนโควิด,โพธิ์แก้ว,นวมินทร์,09:00-16:00,7.0,32511.0,4644.428571428572
688,2017-07-21,ก่อนโควิด,โพธิ์แก้ว,นวมินทร์,16:00-19:00,3.0,15770.0,5256.666666666667
689,2017-07-21,ก่อนโควิด,โพธิ์แก้ว,โพธิ์แก้ว,07:00-09:00,2.0,1511.0,755.5
690,2017-07-21,ก่อนโควิด,โพธิ์แก้ว,โพธิ์แก้ว,09:00-16:00,7.0,4744.0,677.7142857142857
691,2017-07-21,ก่อนโควิด,โพธิ์แก้ว,โพธิ์แก้ว,16:00-19:00,3.0,2004.0,668.0
692,2017-07-21,ก่อนโควิด,โพธิ์แก้ว,ทางเข้าวัดบางเตย,07:00-09:00,2.0,129.0,64.5
693,2017-07-21,ก่อนโควิด,โพธิ์แก้ว,ทางเข้าวัดบางเตย,09:00-16:00,7.0,183.0,26.142857142857142
694,2017-07-21,ก่อนโควิด,โพธิ์แก้ว,ทางเข้าวัดบางเตย,16:00-19:00,3.0,188.0,62.666666666666664
704,2017-07-25,ก่อนโควิด,มิตรไมตรี-มิตรไมตรี2,มิตรไมตรี,07:00-09:00,2.0,3231.0,1615.5
705,2017-07-25,ก่อนโควิด,มิตรไมตรี-มิตรไมตรี2,มิตรไมตรี,09:00-16:00,7.0,8125.0,1160.7142857142858
